Day,Grande_Comore,Moheli,Anjouan
166,83415.76161266577,82180.3372352699,82585.1409519207
167,85147.68816202167,82975.42065959773,82852.11379123149
168,85589.8435396857,82990.95045895314,82915.73031019358
169,86550.88337371919,85170.33158077754,84758.26339209612
170,85626.09516124902,84776.09594840954,84110.41264100712
171,84937.69848066884,83795.83348352279,83446.72045141153
172,84269.66745682505,83042.73346442661,82769.92581442253
173,85016.67706638001,82741.07375339782,82448.96167101178
174,83956.26592827232,82155.6382347528,82076.95747740689
175,83413.35927041208,81968.02911809164,81786.7047342459
176,83602.10569785279,81942.88488675209,81790.11596216277
177,86402.85306489121,82758.816505699,82108.00317308585
178,85434.37328513435,82225.92235788521,81660.23049075995
179,84310.87226914866,81738.1408114541,81307.14357585345
180,84055.56165623703,81974.10340584785,81520.84306542274
181,83832.5476743031,81695.58413618898,81264.00652894698
182,83704.61854677064,81569.56968520167,81143.86084095715
183,83514.09066774721,81480.15193064063,81130.0935805389
184,83665.55898445925,81628.57327702286,80965.96453010653
185,83398.97196941306,81636.51117680552,81350.61986782793
186,83230.98714813603,81560.0599699872,81206.18905514947
187,82671.30917592681,81325.61266571874,80967.38447075193
188,82402.68735063913,81321.83409176247,81052.94531237334
189,81882.53860580998,81090.50221557845,80856.45447335149
190,81533.8358975019,80868.56507095677,80988.51196443316
191,81208.0952695045,80678.045915036535,80774.368115785
192,81279.73837666141,80665.32569828945,80766.43218703015
193,81018.16119716413,80531.23977264465,80640.28044335735
194,80793.09776218024,80413.72995093433,80512.57614343874
195,80647.81099181008,80322.21320976775,80412.1252751772
196,80727.93153011525,80251.16943688692,80348.73744029705
197,81246.4956095998,80536.47310784427,80426.07526057883
198,81568.56210633751,80664.78727742548,80862.74637388477
199,81588.6267460635,80797.54221612464,81016.67183095201
200,81955.67394988424,81116.00785154499,80943.73818221892
201,82037.77843009561,81434.26739976893,81241.8778104891
202,81914.87850524626,81206.2983907704,81007.34435196118
203,81707.76208540032,80975.73294635763,80834.48308110067
204,81711.4966174035,80856.07750350388,80780.88507974986
205,82110.66210956025,80963.0458438654,81076.48550371426
206,81967.12614807746,80789.2716507939,80951.07032394667
207,81976.99473491477,81045.0668869079,81110.40159177556
208,82079.86165940014,81218.11322146082,81200.28792415523
209,82219.04197159817,81155.25065420583,81424.76973918911
210,82277.24365995152,81071.86271702466,81681.923552836
211,82284.77412005035,80941.9612107605,81962.15046428077
212,81970.97059278097,80904.8345842332,81539.75418281405
213,81867.13319623546,80785.71237450898,81202.60481537075
214,81665.22214259829,80636.24431374429,80989.00047548131
215,81461.8367583416,80495.50756976879,80877.35151989154
216,81269.69815165167,80430.20228649625,80698.58450431023
217,81333.14712054147,80460.82804611068,81116.44643552539
218,81187.22540712393,80498.68115671522,81089.99771447368
219,81014.66701612645,80424.64009036063,80913.46742772717
220,82375.7106831567,80794.37437866777,81271.24941260752
221,84211.06788023016,82101.23760420752,82483.11043477601
222,85122.45744851147,83710.76958794323,84073.20787518038
223,85585.49629383632,84153.091292459,83753.55769468016
224,85505.93623165676,83557.15949694329,83524.20102439263
225,84551.07662596442,82928.69899638392,82794.15395486109
226,84448.22146140147,82534.5112400154,82478.92484461032
227,83873.38945413819,82122.84872412412,82174.73925718317
228,83285.6158741323,81760.24039928282,81766.60482782584
229,83679.05633068846,82197.89770561692,83294.45485437947
230,83417.59401362835,82055.11151280075,82780.18790744538
231,82945.33238358908,82078.64761788204,83049.08223875181
232,84440.2258195201,82269.58923144292,82756.19431545105
233,84271.75931489453,82225.48379437339,83066.2037519181
234,86299.12157255008,83760.24803654553,83320.87596615335
235,85095.89379921743,82992.98395728544,82976.28383265967
236,84300.44327510645,82470.72616319702,82812.73701634478
237,83674.90131486626,81976.99693553771,82468.60737263018
238,83107.31435277271,81753.844599516,82070.29854430989
239,83003.30838203215,81839.65951062928,81977.31364561722
240,82932.40806994456,82035.2623775618,81732.2087449405
241,84044.46201120182,83477.82441792508,82742.48695089131
242,83326.87956946068,82836.15484300397,82532.26104516142
243,82900.85109907399,82313.46839519759,82649.33696853019
244,82302.2615143877,82045.49908347658,82274.78561432258
245,81829.26988524817,81607.72664342962,81879.02804195449
246,81434.65992618154,81260.5916306101,81508.91330991698
247,81119.38010518598,80981.97928585626,81176.8261372451
248,80872.08015154519,80764.76623678475,80916.51311722538
249,80679.17670492442,80595.60054407454,80713.78113339034
250,80553.50378765065,80463.854170123,80568.59434210554
251,80487.30570019789,80371.12007348816,80542.44069175146
