Day,Grande_Comore,Moheli,Anjouan
1588,66923.46179,64654.87408,64923.67923
1589,65552.4019,63699.55212,64209.03243
1590,65478.69411,63612.98988,64139.48525
1591,64472.20829,62816.46466,63272.50596
1592,63533.54216,62207.67987,62558.16173
1593,63080.03769,61780.64495,61992.29836
1594,62657.33044,61386.76768,61558.09307
1595,62069.53102,61080.01576,61213.4441
1596,62077.45723,60943.28735,61381.45332
1597,61623.42541,60734.63293,61076.89092
1598,61777.18639,60748.63548,61160.22031
1599,61926.8705,60941.37408,61117.93837
1600,62920.66483,61507.26748,61277.36341
1601,62367.3062,61251.1551,61068.63023
1602,62271.67558,61159.49157,60864.9006
1603,62467.78507,60963.72279,60991.06612
1604,61927.50321,60759.72858,60803.07402
1605,61519.53477,60651.79477,60744.57872
1606,61201.53814,60509.09901,60706.01908
1607,61420.66894,60741.49633,60715.53448
1608,61498.36754,60615.08842,60671.8399
1609,61228.78335,60484.65811,60542.08969
1610,61214.58029,60455.9307,60518.1035
1611,60955.47363,60367.81345,60407.04838
1612,61929.98036,60400.46946,61163.49001
1613,61582.68636,60331.13539,60935.3299
1614,61398.50191,60304.08722,60855.18464
1615,61099.25292,60236.82336,60706.27394
1616,61678.13796,60964.48574,61030.78025
1617,62007.07032,60999.31227,61035.2808
1618,62096.97791,61060.49194,61130.65349
1619,62882.01048,62151.16353,61920.09829
1620,62756.92259,62076.01285,61609.65093
1621,62275.48916,61740.58929,61258.87017
1622,63344.45885,61748.85367,61565.68518
1623,63215.98931,61482.53987,61656.69153
1624,62723.26635,61285.79571,61621.808
1625,62775.30322,61170.77399,61342.15671
1626,62720.61479,61203.79927,61506.132
1627,62616.89119,61043.83609,61595.0002
1628,62868.5514,61008.39646,61549.32554
1629,63024.15042,62330.92386,62002.29536
1630,63202.31565,62811.263,61981.91961
1631,63763.13562,62643.99733,62132.14282
1632,63554.13728,62241.57288,61792.53624
1633,62929.09066,61757.28839,61396.33282
1634,62805.0397,61483.18593,61372.09261
1635,62222.79729,61155.10636,61071.52738
1636,61830.02783,60901.07847,60841.30011
1637,62219.76556,60969.47624,61105.11337
1638,62453.68583,61052.0629,61146.30467
1639,61920.30966,60849.25811,60915.25359
1640,61636.37719,60681.83693,60858.81504
1641,61552.48226,60800.21149,60954.79154
1642,62374.91441,61066.83145,61101.02453
1643,62391.57007,61020.97465,60946.10165
1644,62207.62004,61007.47225,61081.07495
1645,62282.9208,61045.22831,61784.75165
1646,62915.10788,60938.10964,61958.51123
1647,62322.94496,60745.70394,61525.29008
1648,62369.58015,60619.84604,61193.27126
1649,62531.59038,60734.75649,60968.76488
1650,62891.9239,61479.32291,61811.35857
1651,63546.10763,62821.17447,63533.17525
